Fecha,Serial,energia
2017+AC0-03+AC0-21 00:00:00 +AC0-0600,121523007433,0
2017+AC0-03+AC0-22 00:00:00 +AC0-0600,121523007433,180
2017+AC0-03+AC0-23 00:00:00 +AC0-0600,121523007433,768
2017+AC0-03+AC0-24 00:00:00 +AC0-0600,121523007433,978
2017+AC0-03+AC0-25 00:00:00 +AC0-0600,121523007433,1632
2017+AC0-03+AC0-26 00:00:00 +AC0-0600,121523007433,1633
2017+AC0-03+AC0-27 00:00:00 +AC0-0600,121523007433,1649
2017+AC0-03+AC0-28 00:00:00 +AC0-0600,121523007433,1580
2017+AC0-03+AC0-29 00:00:00 +AC0-0600,121523007433,1541
2017+AC0-03+AC0-30 00:00:00 +AC0-0600,121523007433,1550
2017+AC0-03+AC0-31 00:00:00 +AC0-0600,121523007433,1634
2017+AC0-04+AC0-01 00:00:00 +AC0-0600,121523007433,1426
2017+AC0-04+AC0-02 00:00:00 +AC0-0600,121523007433,1048
2017+AC0-04+AC0-03 00:00:00 +AC0-0600,121523007433,1543
2017+AC0-04+AC0-04 00:00:00 +AC0-0600,121523007433,1462
2017+AC0-04+AC0-05 00:00:00 +AC0-0600,121523007433,985
2017+AC0-04+AC0-06 00:00:00 +AC0-0600,121523007433,1203
2017+AC0-04+AC0-07 00:00:00 +AC0-0600,121523007433,1071
2017+AC0-04+AC0-08 00:00:00 +AC0-0600,121523007433,843
2017+AC0-04+AC0-09 00:00:00 +AC0-0600,121523007433,1441
2017+AC0-04+AC0-10 00:00:00 +AC0-0600,121523007433,1621
2017+AC0-04+AC0-11 00:00:00 +AC0-0600,121523007433,1707
2017+AC0-04+AC0-12 00:00:00 +AC0-0600,121523007433,1695
2017+AC0-04+AC0-13 00:00:00 +AC0-0600,121523007433,1720
2017+AC0-04+AC0-14 00:00:00 +AC0-0600,121523007433,1205
2017+AC0-04+AC0-15 00:00:00 +AC0-0600,121523007433,1664
2017+AC0-04+AC0-16 00:00:00 +AC0-0600,121523007433,1347
2017+AC0-04+AC0-17 00:00:00 +AC0-0600,121523007433,982
2017+AC0-04+AC0-18 00:00:00 +AC0-0600,121523007433,1325
2017+AC0-04+AC0-19 00:00:00 +AC0-0600,121523007433,912
2017+AC0-04+AC0-20 00:00:00 +AC0-0600,121523007433,978
2017+AC0-04+AC0-21 00:00:00 +AC0-0600,121523007433,1324
2017+AC0-04+AC0-22 00:00:00 +AC0-0600,121523007433,1307
2017+AC0-04+AC0-23 00:00:00 +AC0-0600,121523007433,1390
2017+AC0-04+AC0-24 00:00:00 +AC0-0600,121523007433,1529
2017+AC0-04+AC0-25 00:00:00 +AC0-0600,121523007433,1425
2017+AC0-04+AC0-26 00:00:00 +AC0-0600,121523007433,1143
2017+AC0-04+AC0-27 00:00:00 +AC0-0600,121523007433,1385
2017+AC0-04+AC0-28 00:00:00 +AC0-0600,121523007433,1373
2017+AC0-04+AC0-29 00:00:00 +AC0-0600,121523007433,1496
2017+AC0-04+AC0-30 00:00:00 +AC0-0600,121523007433,1314
2017+AC0-05+AC0-01 00:00:00 +AC0-0600,121523007433,1438
2017+AC0-05+AC0-02 00:00:00 +AC0-0600,121523007433,895
2017+AC0-05+AC0-03 00:00:00 +AC0-0600,121523007433,1327
2017+AC0-05+AC0-04 00:00:00 +AC0-0600,121523007433,1157
2017+AC0-05+AC0-05 00:00:00 +AC0-0600,121523007433,1069
2017+AC0-05+AC0-06 00:00:00 +AC0-0600,121523007433,1094
2017+AC0-05+AC0-07 00:00:00 +AC0-0600,121523007433,1200
2017+AC0-05+AC0-08 00:00:00 +AC0-0600,121523007433,1343
2017+AC0-05+AC0-09 00:00:00 +AC0-0600,121523007433,993
2017+AC0-05+AC0-10 00:00:00 +AC0-0600,121523007433,1278
